name	surname	birthday	address	city	telephone
str	str	date	str	str	int
Jeri	Barba	26/6/1986	154 Rodrigo Shumate Avenue	Dingolfing	3147697455
Kiana	Benda	17/2/1977	63 Hyon Sundberg Crescent	Hendrina	3244022427
Christiane	Huntington	17/6/1986	121 Bibi Boykins Street	Helchteren	3742102807
Marlyn	Schreck	21/1/1977	173 Bibi Bollinger Street	Fălticeni	3456661878
Charissa	Mercurio	21/2/2002	17 Julietta Barba Avenue	Zelenchukskaya	3411069277
Tamera	Schreck	16/1/1995	71 Ellan Roper Boulevard	Muscat	3892768913
Jeana	Dillard	26/6/1973	65 Tiny Shumate Street	Failsworth	3725129318
Coreen	Attaway	22/9/1953	75 Rosendo Mercurio Avenue	Sagaing	3244022427
Jerold	Nettles	21/9/1953	40 Lelia Demps Road	Mostar	3988757183
Pasty	Nicks	20/6/1989	143 Rosendo Halford Road	Koidu	3296593109
Aurora	Brinton	13/5/1987	15 Shalon Reimer Road	Biryulëvo	3219976885
Cleora	Attaway	27/5/2002	168 Sherlene Nettles Boulevard	Baildon	3304056681
Bulah	Wooldridge	17/4/1995	162 Gus Hiller Course	Milak	3676139401
Oralee	Cowley	27/6/2004	148 Ellan Halford Course	Vāda	3300801319
Celestina	Nettles	17/9/1996	28 Hilaria Townley Course	Spokane	3635399250
Greta	Haun	21/2/1953	134 Coreen Hershberger Course	Delta	3892768913
Jaime	Fraley	20/2/1973	1 Gus Sundberg Crescent	Buseresere	3791181953
Lean	Hargrave	26/5/1961	131 Fredericka Florio Boulevard	Kitaibaraki	3108380758
Jerold	Welton	11/6/2005	33 Ellan Huizar Road	Leganés	3993049684
Tamera	Haun	22/5/1977	134 Cleora Sundberg Course	Leganés	3864348790
Rueben	Blakely	8/4/1994	60 Lucia Sheffield Place	Weingarten	3304056681
Jeri	Fellers	27/1/2005	5 Marlyn Stroup Boulevard	Binhe	3493937973
Bulah	Halford	13/4/2002	184 Fredericka Roper Boulevard	Tampere	3559000140
Miquel	Hershberger	20/1/1987	110 Christiane Albanese Street	Pīshvā	3676197377
